ds,y
2023-12-18,302.05882352941177
2023-12-19,302.11764705882354
2023-12-20,302.1764705882353
2023-12-21,302.2352941176471
2023-12-22,302.29411764705884
2023-12-23,302.3529411764706
2023-12-24,302.4117647058824
2023-12-25,302.47058823529414
2023-12-26,302.52941176470586
2023-12-27,302.5882352941176
2023-12-28,302.6470588235294
2023-12-29,302.70588235294116
2023-12-30,302.7647058823529
2023-12-31,302.8235294117647
2024-01-01,302.88235294117646
2024-01-02,302.94117647058823
2024-01-03,303.0
2024-01-04,303.05882352941177
2024-01-05,303.11764705882354
2024-01-06,303.1764705882353
2024-01-07,303.2352941176471
2024-01-08,303.29411764705884
2024-01-09,303.3529411764706
